ID;Loan_duration_in_month;Purpose;Loan_Amount;Occupation;Monthly_Income;Length_Employment;Marital_Status;Residential_Property_Status;Home_Address;Office_Address;Age;Present_Residence_Since;Email_Domain_Type
ABC0015;3;education;50;permanent_employee;a. Less 100;c. 1-4 years;single;rent;Area_1;Area_2;28;d. More10 years;Public_Domain
ABC0016;1;household_appliances;50;self-employed;b. 100 - 500;c. 1-4 years;single;own;Area_2;Area_1;32;b. 1-5 years;Public_Domain
ABC0017;1;household_appliances;100;permanent_employee;e. More 2000;e. More7 years;married;own;Area_4;Area_3;53;d. More10 years;Public_Domain
ABC0018;5;business_loan;200;permanent_employee;e. More 2000;b. Less1 years;married;own;Area_3;Area_3;25;c. 5-10 years;Public_Domain
ABC0019;1;business_loan;300;unemployed;a. Less 100;e. More7 years;single;family_owned;Area_1;Area_4;44;b. 1-5 years;Public_Domain
ABC0020;3;electronics;100;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_3;Area_4;31;b. 1-5 years;Public_Domain
ABC0021;6;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_3;Area_3;48;d. More10 years;Public_Domain
ABC0022;1;electronics;100;permanent_employee;c. 500 - 1000;c. 1-4 years;married;rent;Area_2;Area_4;44;c. 5-10 years;Public_Domain
ABC0023;6;food;100;self-employed;a. Less 100;b. Less1 years;married;rent;Area_1;Area_3;48;c. 5-10 years;Public_Domain
ABC0024;6;business_loan;50;permanent_employee;b. 100 - 500;b. Less1 years;married;own;Area_2;Area_2;44;d. More10 years;Public_Domain
ABC0025;2;electronics;100;permanent_employee;e. More 2000;c. 1-4 years;divorced;own;Area_4;Area_1;26;a. Less1 year;Public_Domain
ABC0026;1;electronics;50;self-employed;a. Less 100;c. 1-4 years;married;own;Area_4;Area_2;36;b. 1-5 years;Public_Domain
ABC0027;1;electronics;50;self-employed;a. Less 100;e. More7 years;divorced;own;Area_1;Area_3;39;d. More10 years;Public_Domain
ABC0028;1;electronics;50;permanent_employee;d. 1000 - 2000;c. 1-4 years;single;rent;Area_4;Area_2;42;c. 5-10 years;Public_Domain
ABC0029;2;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_1;Area_2;34;b. 1-5 years;Public_Domain
ABC0030;6;business_loan;200;permanent_employee;a. Less 100;e. More7 years;married;own;Area_1;Area_2;63;d. More10 years;Public_Domain
ABC0031;3;business_loan;50;permanent_employee;d. 1000 - 2000;b. Less1 years;divorced;own;Area_3;Area_1;36;c. 5-10 years;Public_Domain
ABC0032;1;food;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_4;Area_4;27;b. 1-5 years;Public_Domain
ABC0033;3;education;200;permanent_employee;b. 100 - 500;c. 1-4 years;married;own;Area_2;Area_2;30;b. 1-5 years;Professional_Domain
ABC0034;3;business_loan;50;self-employed;e. More 2000;e. More7 years;married;rent;Area_1;Area_4;57;d. More10 years;Public_Domain
ABC0035;2;food;50;unemployed;a. Less 100;b. Less1 years;single;own;Area_2;Area_2;33;a. Less1 year;Public_Domain
ABC0036;6;electronics;100;self-employed;a. Less 100;b. Less1 years;married;own;Area_2;Area_2;25;b. 1-5 years;Public_Domain
ABC0037;6;food;200;permanent_employee;a. Less 100;c. 1-4 years;married;family_owned;Area_3;Area_1;31;c. 5-10 years;Public_Domain
ABC0038;1;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_3;Area_4;37;b. 1-5 years;Public_Domain
ABC0039;2;education;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_2;37;b. 1-5 years;Public_Domain
ABC0040;2;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_3;Area_2;24;c. 5-10 years;Public_Domain
ABC0041;1;electronics;100;unemployed;c. 500 - 1000;e. More7 years;married;own;Area_4;Area_3;30;b. 1-5 years;Public_Domain
ABC0042;6;electronics;50;permanent_employee;c. 500 - 1000;c. 1-4 years;divorced;own;Area_3;Area_4;26;a. Less1 year;Public_Domain
ABC0043;6;vacation;200;self-employed;a. Less 100;c. 1-4 years;married;own;Area_1;Area_2;44;d. More10 years;Professional_Domain
ABC0044;5;business_loan;200;permanent_employee;b. 100 - 500;d. 4-7 years;divorced;rent;Area_2;Area_4;24;d. More10 years;Public_Domain
ABC0045;6;business_loan;200;self-employed;a. Less 100;e. More7 years;single;family_owned;Area_3;Area_3;58;d. More10 years;Public_Domain
ABC0046;3;food;50;unemployed;a. Less 100;b. Less1 years;single;own;Area_3;Area_3;35;d. More10 years;Public_Domain
ABC0047;6;household_appliances;100;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_3;Area_4;39;d. More10 years;Public_Domain
ABC0048;1;business_loan;50;contract_employee;c. 500 - 1000;a. unemployed;single;rent;Area_3;Area_1;23;b. 1-5 years;Public_Domain
ABC0049;6;electronics;200;self-employed;a. Less 100;c. 1-4 years;married;own;Area_1;Area_1;39;d. More10 years;Professional_Domain
ABC0050;6;electronics;100;permanent_employee;b. 100 - 500;c. 1-4 years;single;own;Area_1;Area_4;28;b. 1-5 years;Public_Domain
ABC0051;1;food;100;self-employed;e. More 2000;b. Less1 years;married;own;Area_1;Area_3;29;b. 1-5 years;Public_Domain
ABC0052;4;business_loan;200;unemployed;a. Less 100;e. More7 years;married;own;Area_3;Area_3;30;b. 1-5 years;Public_Domain
ABC0053;3;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_1;25;b. 1-5 years;Public_Domain
ABC0054;3;education;100;permanent_employee;e. More 2000;c. 1-4 years;married;own;Area_1;Area_2;31;a. Less1 year;Professional_Domain
ABC0055;6;household_appliances;100;permanent_employee;a. Less 100;e. More7 years;married;family_owned;Area_4;Area_3;57;d. More10 years;Public_Domain
ABC0056;1;education;50;self-employed;e. More 2000;c. 1-4 years;married;own;Area_1;Area_2;26;b. 1-5 years;Public_Domain
ABC0057;6;electronics;200;unemployed;e. More 2000;a. unemployed;married;own;Area_2;Area_4;52;a. Less1 year;Professional_Domain
ABC0058;5;electronics;200;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_4;Area_1;31;b. 1-5 years;Public_Domain
ABC0059;3;household_appliances;50;unemployed;a. Less 100;e. More7 years;single;own;Area_4;Area_2;23;b. 1-5 years;Public_Domain
ABC0060;6;electronics;200;self-employed;a. Less 100;b. Less1 years;single;rent;Area_4;Area_4;23;d. More10 years;Professional_Domain
ABC0061;6;business_loan;50;permanent_employee;a. Less 100;c. 1-4 years;divorced;own;Area_4;Area_4;27;a. Less1 year;Public_Domain
ABC0062;3;electronics;50;permanent_employee;e. More 2000;e. More7 years;married;own;Area_2;Area_3;50;d. More10 years;Public_Domain
ABC0063;6;business_loan;50;unemployed;a. Less 100;e. More7 years;married;family_owned;Area_4;Area_1;61;d. More10 years;Public_Domain
ABC0064;6;business_loan;300;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_3;25;b. 1-5 years;Professional_Domain
ABC0065;3;electronics;100;permanent_employee;a. Less 100;b. Less1 years;single;own;Area_2;Area_2;26;d. More10 years;Public_Domain
ABC0066;4;vacation;200;permanent_employee;e. More 2000;e. More7 years;married;own;Area_3;Area_3;48;d. More10 years;Public_Domain
ABC0067;2;electronics;100;permanent_employee;a. Less 100;b. Less1 years;single;own;Area_4;Area_4;29;b. 1-5 years;Public_Domain
ABC0068;3;education;50;permanent_employee;d. 1000 - 2000;c. 1-4 years;divorced;own;Area_1;Area_2;22;a. Less1 year;Public_Domain
ABC0069;1;food;50;permanent_employee;a. Less 100;c. 1-4 years;married;family_owned;Area_2;Area_2;37;d. More10 years;Public_Domain
ABC0070;5;electronics;100;permanent_employee;e. More 2000;c. 1-4 years;single;own;Area_1;Area_4;25;d. More10 years;Public_Domain
ABC0071;5;education;200;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_1;30;b. 1-5 years;Professional_Domain
ABC0072;2;electronics;50;self-employed;e. More 2000;e. More7 years;married;rent;Area_1;Area_1;46;b. 1-5 years;Public_Domain
ABC0073;2;household_appliances;50;unemployed;a. Less 100;e. More7 years;married;family_owned;Area_2;Area_2;51;d. More10 years;Public_Domain
ABC0074;6;business_loan;200;self-employed;a. Less 100;d. 4-7 years;single;own;Area_1;Area_3;41;a. Less1 year;Professional_Domain
ABC0075;1;food;50;unemployed;e. More 2000;e. More7 years;married;own;Area_3;Area_3;40;d. More10 years;Public_Domain
ABC0076;2;education;50;unemployed;a. Less 100;e. More7 years;married;family_owned;Area_4;Area_1;66;d. More10 years;Public_Domain
ABC0077;6;electronics;100;permanent_employee;a. Less 100;b. Less1 years;married;own;Area_2;Area_2;34;c. 5-10 years;Public_Domain
ABC0078;6;electronics;100;permanent_employee;a. Less 100;d. 4-7 years;married;own;Area_1;Area_2;51;d. More10 years;Public_Domain
ABC0079;6;business_loan;200;self-employed;e. More 2000;c. 1-4 years;married;own;Area_2;Area_2;39;b. 1-5 years;Public_Domain
ABC0080;5;electronics;100;permanent_employee;a. Less 100;b. Less1 years;divorced;own;Area_4;Area_3;22;a. Less1 year;Public_Domain
ABC0081;4;electronics;200;permanent_employee;e. More 2000;b. Less1 years;single;own;Area_3;Area_2;44;a. Less1 year;Public_Domain
ABC0082;3;electronics;50;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_3;Area_4;47;c. 5-10 years;Public_Domain
ABC0083;3;business_loan;50;self-employed;;c. 1-4 years;single;rent;Area_3;Area_4;24;d. More10 years;Public_Domain
ABC0084;4;food;50;self-employed;;e. More7 years;single;own;Area_4;Area_3;58;d. More10 years;Public_Domain
ABC0085;2;electronics;100;self-employed;;e. More7 years;married;own;Area_4;Area_4;52;d. More10 years;Public_Domain
ABC0086;1;business_loan;50;unemployed;;c. 1-4 years;single;own;Area_2;Area_2;29;b. 1-5 years;Public_Domain
ABC0087;6;electronics;50;permanent_employee;a. Less 100;b. Less1 years;single;own;Area_2;Area_2;27;a. Less1 year;Public_Domain
ABC0088;5;food;300;permanent_employee;b. 100 - 500;c. 1-4 years;married;family_owned;Area_2;Area_2;47;d. More10 years;Public_Domain
ABC0089;3;education;100;unemployed;b. 100 - 500;d. 4-7 years;married;own;Area_2;Area_4;30;c. 5-10 years;Public_Domain
ABC0090;2;vacation;50;permanent_employee;a. Less 100;d. 4-7 years;married;own;Area_3;Area_2;28;c. 5-10 years;Public_Domain
ABC0091;2;electronics;50;permanent_employee;a. Less 100;e. More7 years;married;own;Area_2;Area_4;56;d. More10 years;Public_Domain
ABC0092;1;business_loan;50;permanent_employee;a. Less 100;e. More7 years;married;own;Area_1;Area_3;54;c. 5-10 years;Public_Domain
ABC0093;1;electronics;50;self-employed;e. More 2000;e. More7 years;single;own;Area_1;Area_2;33;c. 5-10 years;Public_Domain
ABC0094;4;food;100;permanent_employee;e. More 2000;e. More7 years;married;rent;Area_2;Area_3;20;d. More10 years;Professional_Domain
ABC0095;6;electronics;50;permanent_employee;d. 1000 - 2000;e. More7 years;married;own;Area_1;Area_4;54;d. More10 years;Public_Domain
ABC0096;6;business_loan;300;permanent_employee;a. Less 100;b. Less1 years;married;rent;Area_1;Area_2;58;d. More10 years;Professional_Domain
ABC0097;2;food;100;permanent_employee;e. More 2000;d. 4-7 years;single;own;Area_4;Area_1;61;b. 1-5 years;Public_Domain
ABC0098;3;business_loan;100;permanent_employee;b. 100 - 500;c. 1-4 years;married;own;Area_1;Area_2;34;d. More10 years;Public_Domain
ABC0099;5;electronics;100;permanent_employee;a. Less 100;e. More7 years;married;own;Area_3;Area_2;36;d. More10 years;Public_Domain
ABC0100;3;business_loan;200;unemployed;e. More 2000;d. 4-7 years;married;rent;Area_2;Area_1;36;d. More10 years;Professional_Domain
ABC0101;4;electronics;50;self-employed;b. 100 - 500;e. More7 years;divorced;rent;Area_3;Area_3;41;d. More10 years;Public_Domain
ABC0102;5;electronics;100;permanent_employee;a. Less 100;d. 4-7 years;married;rent;Area_1;Area_3;24;d. More10 years;Public_Domain
ABC0103;1;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_3;24;b. 1-5 years;Public_Domain
ABC0104;6;food;50;permanent_employee;a. Less 100;d. 4-7 years;married;rent;Area_1;Area_1;35;c. 5-10 years;Public_Domain
ABC0105;2;education;100;permanent_employee;e. More 2000;b. Less1 years;divorced;rent;Area_4;Area_2;26;d. More10 years;Public_Domain
ABC0106;3;household_appliances;300;unemployed;a. Less 100;c. 1-4 years;married;own;Area_2;Area_3;39;c. 5-10 years;Professional_Domain
ABC0107;1;electronics;200;unemployed;a. Less 100;e. More7 years;married;own;Area_1;Area_4;39;d. More10 years;Professional_Domain
ABC0108;6;electronics;200;permanent_employee;a. Less 100;d. 4-7 years;married;own;Area_1;Area_3;32;b. 1-5 years;Professional_Domain
ABC0109;6;vacation;200;permanent_employee;e. More 2000;b. Less1 years;single;own;Area_1;Area_3;30;b. 1-5 years;Professional_Domain
ABC0110;3;business_loan;50;permanent_employee;c. 500 - 1000;e. More7 years;divorced;own;Area_1;Area_3;35;b. 1-5 years;Public_Domain
ABC0111;6;business_loan;50;permanent_employee;b. 100 - 500;e. More7 years;divorced;own;Area_3;Area_3;31;b. 1-5 years;Public_Domain
ABC0112;3;food;50;permanent_employee;a. Less 100;b. Less1 years;single;rent;Area_2;Area_4;23;d. More10 years;Public_Domain
ABC0113;3;electronics;200;self-employed;a. Less 100;d. 4-7 years;married;rent;Area_4;Area_3;28;c. 5-10 years;Public_Domain
ABC0114;1;electronics;200;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_4;25;b. 1-5 years;Professional_Domain
ABC0115;1;vacation;50;permanent_employee;c. 500 - 1000;e. More7 years;divorced;own;Area_2;Area_4;35;a. Less1 year;Public_Domain
ABC0116;1;electronics;100;permanent_employee;e. More 2000;e. More7 years;married;own;Area_1;Area_4;47;a. Less1 year;Public_Domain
ABC0117;1;electronics;200;unemployed;e. More 2000;d. 4-7 years;single;own;Area_2;Area_3;30;c. 5-10 years;Public_Domain
ABC0118;3;food;100;permanent_employee;e. More 2000;b. Less1 years;single;rent;Area_2;Area_2;27;c. 5-10 years;Public_Domain
ABC0119;3;electronics;100;permanent_employee;c. 500 - 1000;c. 1-4 years;single;own;Area_2;Area_2;23;d. More10 years;Public_Domain
ABC0120;6;electronics;100;unemployed;c. 500 - 1000;d. 4-7 years;divorced;own;Area_3;Area_2;36;c. 5-10 years;Public_Domain
ABC0121;1;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_1;Area_2;25;b. 1-5 years;Public_Domain
ABC0122;4;business_loan;100;unemployed;a. Less 100;e. More7 years;single;rent;Area_2;Area_3;41;b. 1-5 years;Professional_Domain
ABC0123;6;electronics;50;self-employed;a. Less 100;c. 1-4 years;married;rent;Area_4;Area_2;24;b. 1-5 years;Public_Domain
ABC0124;2;electronics;50;permanent_employee;a. Less 100;e. More7 years;married;family_owned;Area_3;Area_1;63;d. More10 years;Public_Domain
ABC0125;3;electronics;50;permanent_employee;e. More 2000;b. Less1 years;single;rent;Area_1;Area_2;27;c. 5-10 years;Public_Domain
ABC0126;1;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_1;Area_3;30;b. 1-5 years;Public_Domain
ABC0127;6;electronics;50;self-employed;a. Less 100;c. 1-4 years;divorced;own;Area_3;Area_1;40;b. 1-5 years;Public_Domain
ABC0128;2;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_1;30;b. 1-5 years;Public_Domain
ABC0129;3;business_loan;50;unemployed;a. Less 100;a. unemployed;married;own;Area_3;Area_1;34;b. 1-5 years;Public_Domain
ABC0130;6;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_1;Area_4;29;b. 1-5 years;Public_Domain
ABC0131;6;electronics;200;permanent_employee;e. More 2000;d. 4-7 years;single;own;Area_1;Area_4;24;b. 1-5 years;Professional_Domain
ABC0132;3;food;200;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_4;29;c. 5-10 years;Public_Domain
ABC0133;3;electronics;100;self-employed;a. Less 100;b. Less1 years;married;own;Area_1;Area_1;27;c. 5-10 years;Public_Domain
ABC0134;6;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;married;family_owned;Area_3;Area_2;47;d. More10 years;Public_Domain
ABC0135;6;household_appliances;300;permanent_employee;b. 100 - 500;d. 4-7 years;single;own;Area_4;Area_4;21;d. More10 years;Public_Domain
ABC0136;1;household_appliances;50;permanent_employee;e. More 2000;e. More7 years;single;own;Area_2;Area_3;38;b. 1-5 years;Public_Domain
ABC0137;4;business_loan;200;permanent_employee;d. 1000 - 2000;c. 1-4 years;married;own;Area_4;Area_3;27;b. 1-5 years;Professional_Domain
ABC0138;3;electronics;50;self-employed;c. 500 - 1000;c. 1-4 years;married;own;Area_3;Area_2;66;c. 5-10 years;Public_Domain
ABC0139;3;electronics;100;permanent_employee;e. More 2000;d. 4-7 years;married;own;Area_3;Area_2;35;b. 1-5 years;Public_Domain
ABC0140;1;electronics;50;self-employed;a. Less 100;c. 1-4 years;single;rent;Area_4;Area_2;44;b. 1-5 years;Public_Domain
ABC0141;1;electronics;50;contract_employee;d. 1000 - 2000;b. Less1 years;divorced;own;Area_3;Area_2;27;b. 1-5 years;Public_Domain
ABC0142;5;electronics;100;unemployed;a. Less 100;b. Less1 years;single;own;Area_2;Area_1;30;a. Less1 year;Public_Domain
ABC0143;1;electronics;100;unemployed;a. Less 100;c. 1-4 years;married;own;Area_2;Area_2;27;b. 1-5 years;Professional_Domain
ABC0144;6;household_appliances;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_1;Area_1;22;b. 1-5 years;Public_Domain
ABC0145;6;household_appliances;100;permanent_employee;a. Less 100;b. Less1 years;single;own;Area_4;Area_2;23;d. More10 years;Public_Domain
ABC0146;6;business_loan;100;permanent_employee;b. 100 - 500;d. 4-7 years;married;own;Area_1;Area_2;30;b. 1-5 years;Public_Domain
ABC0147;1;electronics;50;permanent_employee;a. Less 100;e. More7 years;single;own;Area_2;Area_1;39;d. More10 years;Public_Domain
ABC0148;6;vacation;50;permanent_employee;b. 100 - 500;d. 4-7 years;single;own;Area_1;Area_3;51;c. 5-10 years;Public_Domain
ABC0149;5;electronics;200;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_4;28;b. 1-5 years;Professional_Domain
ABC0150;3;electronics;50;permanent_employee;d. 1000 - 2000;e. More7 years;married;own;Area_1;Area_3;46;d. More10 years;Public_Domain
ABC0151;1;electronics;50;permanent_employee;b. 100 - 500;e. More7 years;married;family_owned;Area_2;Area_2;42;d. More10 years;Public_Domain
ABC0152;2;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_1;Area_3;38;d. More10 years;Public_Domain
ABC0153;5;education;200;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_3;Area_2;24;a. Less1 year;Professional_Domain
ABC0154;4;business_loan;200;permanent_employee;d. 1000 - 2000;e. More7 years;single;rent;Area_2;Area_3;29;d. More10 years;Public_Domain
ABC0155;4;business_loan;200;unemployed;b. 100 - 500;d. 4-7 years;married;rent;Area_3;Area_4;36;d. More10 years;Professional_Domain
ABC0156;6;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;single;rent;Area_2;Area_2;20;d. More10 years;Public_Domain
ABC0157;2;vacation;50;permanent_employee;b. 100 - 500;e. More7 years;married;own;Area_2;Area_4;48;d. More10 years;Public_Domain
ABC0158;2;education;50;self-employed;a. Less 100;e. More7 years;divorced;own;Area_2;Area_3;45;a. Less1 year;Public_Domain
ABC0159;4;vacation;100;permanent_employee;b. 100 - 500;d. 4-7 years;married;own;Area_1;Area_2;38;c. 5-10 years;Public_Domain
ABC0160;1;electronics;50;self-employed;e. More 2000;c. 1-4 years;married;own;Area_1;Area_3;34;b. 1-5 years;Public_Domain
ABC0161;1;education;100;permanent_employee;b. 100 - 500;e. More7 years;married;own;Area_1;Area_2;36;d. More10 years;Public_Domain
ABC0162;1;electronics;50;permanent_employee;a. Less 100;b. Less1 years;single;own;Area_1;Area_4;30;a. Less1 year;Public_Domain
ABC0163;3;household_appliances;50;permanent_employee;c. 500 - 1000;d. 4-7 years;married;own;Area_2;Area_4;36;c. 5-10 years;Public_Domain
ABC0164;2;food;200;unemployed;a. Less 100;a. unemployed;married;family_owned;Area_2;Area_3;70;d. More10 years;Public_Domain
ABC0165;1;electronics;50;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_4;Area_4;36;d. More10 years;Public_Domain
ABC0166;1;electronics;100;permanent_employee;c. 500 - 1000;c. 1-4 years;married;own;Area_4;Area_1;32;b. 1-5 years;Public_Domain
ABC0167;3;vacation;50;permanent_employee;a. Less 100;a. unemployed;single;own;Area_2;Area_4;33;b. 1-5 years;Public_Domain
ABC0168;1;electronics;50;permanent_employee;d. 1000 - 2000;b. Less1 years;single;own;Area_1;Area_2;20;a. Less1 year;Public_Domain
ABC0169;6;vacation;100;permanent_employee;a. Less 100;d. 4-7 years;single;rent;Area_1;Area_1;25;d. More10 years;Professional_Domain
ABC0170;4;business_loan;50;permanent_employee;a. Less 100;e. More7 years;divorced;own;Area_1;Area_3;31;d. More10 years;Public_Domain
ABC0171;1;electronics;50;permanent_employee;a. Less 100;e. More7 years;married;rent;Area_4;Area_1;33;c. 5-10 years;Public_Domain
ABC0172;1;food;50;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_3;26;a. Less1 year;Public_Domain
ABC0173;4;food;100;unemployed;a. Less 100;a. unemployed;single;own;Area_1;Area_2;34;b. 1-5 years;Public_Domain
ABC0174;6;electronics;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_1;Area_2;33;b. 1-5 years;Public_Domain
ABC0175;3;food;100;permanent_employee;a. Less 100;b. Less1 years;married;own;Area_2;Area_3;26;a. Less1 year;Public_Domain
ABC0176;5;business_loan;200;unemployed;e. More 2000;a. unemployed;single;own;Area_4;Area_3;53;a. Less1 year;Professional_Domain
ABC0177;6;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;divorced;own;Area_4;Area_4;42;a. Less1 year;Public_Domain
ABC0178;1;electronics;50;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_3;Area_3;52;d. More10 years;Public_Domain
ABC0179;2;food;50;unemployed;a. Less 100;d. 4-7 years;married;rent;Area_4;Area_2;31;b. 1-5 years;Public_Domain
ABC0180;3;vacation;50;permanent_employee;a. Less 100;e. More7 years;married;own;Area_3;Area_3;65;d. More10 years;Public_Domain
ABC0181;6;business_loan;200;permanent_employee;a. Less 100;b. Less1 years;divorced;own;Area_4;Area_2;28;a. Less1 year;Public_Domain
ABC0182;6;household_appliances;100;unemployed;a. Less 100;c. 1-4 years;divorced;own;Area_3;Area_2;30;b. 1-5 years;Professional_Domain
ABC0183;1;food;50;self-employed;e. More 2000;c. 1-4 years;married;own;Area_3;Area_3;40;b. 1-5 years;Public_Domain
ABC0184;1;electronics;100;permanent_employee;d. 1000 - 2000;c. 1-4 years;married;own;Area_2;Area_1;50;d. More10 years;Professional_Domain
ABC0185;3;electronics;50;permanent_employee;a. Less 100;e. More7 years;married;own;Area_3;Area_1;36;d. More10 years;Public_Domain
ABC0186;3;household_appliances;50;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_2;31;b. 1-5 years;Public_Domain
ABC0187;1;business_loan;200;unemployed;a. Less 100;e. More7 years;single;family_owned;Area_4;Area_1;74;d. More10 years;Professional_Domain
ABC0188;3;electronics;50;contract_employee;a. Less 100;a. unemployed;married;family_owned;Area_1;Area_2;68;c. 5-10 years;Public_Domain
ABC0189;1;household_appliances;50;permanent_employee;b. 100 - 500;d. 4-7 years;divorced;own;Area_2;Area_1;20;a. Less1 year;Public_Domain
ABC0190;3;electronics;100;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_3;Area_3;33;d. More10 years;Professional_Domain
ABC0191;3;business_loan;100;unemployed;d. 1000 - 2000;c. 1-4 years;married;own;Area_4;Area_2;54;c. 5-10 years;Public_Domain
ABC0192;6;business_loan;100;self-employed;b. 100 - 500;d. 4-7 years;married;family_owned;Area_2;Area_1;34;d. More10 years;Professional_Domain
ABC0193;4;business_loan;100;permanent_employee;a. Less 100;c. 1-4 years;married;own;Area_2;Area_3;36;b. 1-5 years;Professional_Domain
ABC0194;1;household_appliances;100;permanent_employee;a. Less 100;d. 4-7 years;divorced;rent;Area_2;Area_4;29;b. 1-5 years;Public_Domain
ABC0195;6;food;100;permanent_employee;b. 100 - 500;c. 1-4 years;married;rent;Area_1;Area_4;21;d. More10 years;Professional_Domain
ABC0196;2;food;50;unemployed;a. Less 100;e. More7 years;single;own;Area_2;Area_3;34;c. 5-10 years;Public_Domain
ABC0197;1;vacation;50;permanent_employee;a. Less 100;c. 1-4 years;single;own;Area_2;Area_2;28;a. Less1 year;Public_Domain
ABC0198;6;electronics;50;permanent_employee;b. 100 - 500;b. Less1 years;single;rent;Area_3;Area_1;27;d. More10 years;Public_Domain
ABC0199;4;business_loan;100;permanent_employee;e. More 2000;e. More7 years;married;family_owned;Area_1;Area_2;36;d. More10 years;Public_Domain
ABC0200;6;household_appliances;100;unemployed;a. Less 100;e. More7 years;divorced;own;Area_3;Area_2;40;c. 5-10 years;Public_Domain
ABC0201;1;food;50;permanent_employee;c. 500 - 1000;e. More7 years;married;own;Area_4;Area_1;52;b. 1-5 years;Public_Domain
ABC0202;6;electronics;50;self-employed;a. Less 100;c. 1-4 years;divorced;own;Area_4;Area_2;27;c. 5-10 years;Public_Domain
